"Summary Statistic","    FHB_ME","    FDK_ME","    DON_ME","    HD_ME","    PH_ME","  FHB_KIN19","  FDK_KIN19","  DON_KIN19","   HD_KIN20","  FHB_KIN20","  FDK_KIN20","  DON_KIN20","   PH_KIN20","   HD_RAL19","  FHB_RAL19","  FDK_RAL19","  DON_RAL19","   HD_RAL20","  FHB_RAL20","  FDK_RAL20","  DON_RAL20","   PH_RAL20","  FDK_WAR19","  DON_WAR19","   HD_WAR20","  FHB_WAR20","  FDK_WAR20","  DON_WAR20"
"Minimum","0.3134  ","1.974  ","0.3957  "," 92.21  "," 74.38  ","-0.000001  ","1.585  ","0.1954  ","80.10  ","0.4042  ","2.014  ","0.828  "," 70.00  "," 95.16  ","0.4055  ","2.139  ","0.9635  ","81.00  ","0.0000  ","1.551  ","-0.8346  "," 78.75  "," 0.00  ","0.5305  ","111.3  ","-0.03236  ","1.609  ","-0.6162  "
"First Quantile","0.9615  ","2.960  ","1.5513  "," 98.01  "," 87.50  "," 0.916291  ","2.995  ","2.0896  ","85.88  ","1.0973  ","3.400  ","1.843  "," 86.25  ","100.50  ","1.0334  ","3.314  ","2.1922  ","86.00  ","0.9163  ","2.301  "," 0.4757  "," 88.75  ","15.00  ","1.6029  ","119.5  "," 1.00000  ","2.303  "," 0.2662  "
"Median","1.1847  ","3.209  ","1.8506  "," 99.75  "," 91.88  "," 1.252763  ","3.401  ","2.5354  ","88.00  ","1.3850  ","3.688  ","2.252  "," 91.25  ","102.50  ","1.3218  ","3.555  ","2.5972  ","87.00  ","1.1757  ","2.706  "," 1.0813  "," 92.50  ","25.00  ","1.9286  ","120.5  "," 2.00000  ","2.708  "," 0.6152  "
"Mean","1.1584  ","3.231  ","1.8787  "," 99.38  "," 91.73  "," 1.171729  ","3.339  ","2.5058  ","87.72  ","1.4009  ","3.595  ","2.239  "," 90.71  ","102.48  ","1.2440  ","3.516  ","2.6373  ","86.92  ","1.1327  ","2.789  "," 0.9966  "," 92.84  ","31.21  ","1.9369  ","120.5  "," 2.16466  ","2.787  "," 0.6141  "
"Third Quantile","1.3632  ","3.511  ","2.2308  ","100.75  "," 95.62  "," 1.504077  ","3.749  ","2.9656  ","90.00  ","1.7035  ","3.911  ","2.623  "," 95.00  ","104.38  ","1.3863  ","3.860  ","3.1652  ","88.00  ","1.3863  ","3.217  "," 1.5576  "," 96.25  ","45.00  ","2.3649  ","121.5  "," 3.00000  ","3.219  "," 0.8940  "
"Maximum","1.9200  ","4.348  ","3.5322  ","104.12  ","105.00  "," 2.014903  ","4.500  ","4.6527  ","93.50  ","2.1388  ","4.499  ","3.735  ","106.25  ","108.50  ","1.9459  ","4.381  ","4.5077  ","91.50  ","2.0412  ","4.210  "," 2.5872  ","110.00  ","97.81  ","3.7358  ","123.5  "," 7.00000  ","4.135  "," 2.1306  "
"N Missing Obs","1  ","1  ","1  ","0","3  ","11  ","11  ","11  ","4  ","3  ","3  ","3  ","3  ","10  ","10  ","10  ","10  ","4  ","4  ","4  ","11  ","5  ","10  ","10  ","2  ","2  ","2  ","2  "
