"df","SS","MS","LOD","%var","Pvalue(Chi2)","Pvalue(F)","effect","trait"
4,168.869801334358,42.2174503335894,23.3296801648096,48.0612246497,0,0,"Model","HD_WAR20"
159,182.494115347303,1.14776173174404,NA,NA,NA,NA,"Error","HD_WAR20"
163,351.36391668166,NA,NA,NA,NA,NA,"Total","HD_WAR20"
2,77.28297009168,38.64148504584,9.44171984721283,23.2891005372661,3.61643048840676e-10,5.38262989735472e-10,"Model","VR_WAR20"
161,254.558828469907,1.58111073583793,NA,NA,NA,NA,"Error","VR_WAR20"
163,331.841798561587,NA,NA,NA,NA,NA,"Total","VR_WAR20"
4,20.5946483974059,5.14866209935147,17.3602341816768,38.5828263168097,2.22044604925031e-16,4.44089209850063e-16,"Model","FDK_WAR20"
159,32.783111511368,0.206183091266465,NA,NA,NA,NA,"Error","FDK_WAR20"
163,53.3777599087739,NA,NA,NA,NA,NA,"Total","FDK_WAR20"
4,16.847942694065,4.21198567351624,19.6932793271115,42.4774597061049,0,0,"Model","DON_WAR20"
159,22.815311207259,0.143492523316094,NA,NA,NA,NA,"Error","DON_WAR20"
163,39.6632539013239,NA,NA,NA,NA,NA,"Total","DON_WAR20"
