"Trait","Minimum","Mean","Maximum","SD","NC13-20076","GA06493-13LE6"
"Visual Ratings","0.3134  ","1.1584  ","1.9200  ",0.325757140932073,0.466531429422388,1.9200303618518
"Fusarium Damaged Kernels","1.974  ","3.231  ","4.348  ",0.42614625952658,1.97443072096251,4.3478127012443
"DON Content","0.3957  ","1.8787  ","3.5322  ",0.498549534555007,0.395744771285898,3.53218499457643
"Heading Date"," 92.21  "," 99.38  ","104.12  ",1.9793968947506,96.7818855079312,101.332718829446
"Plant Height"," 74.38  "," 91.73  ","105.00  ",5.68442355928623,91.7953102511414,92.8750000000006
