"df","SS","MS","LOD","%var","Pvalue(Chi2)","Pvalue(F)","effect","trait"
5,25898.172697081,5179.6345394162,17.7430140555464,39.2394383317582,3.33066907387547e-16,1.11022302462516e-15,"Model","FDK_WAR19"
158,40102.1927467854,253.811346498641,NA,NA,NA,NA,"Error","FDK_WAR19"
163,66000.3654438664,NA,NA,NA,NA,NA,"Total","FDK_WAR19"
4,21.642664719537,5.41066617988426,19.8279426177246,42.694563922023,0,0,"Model","DON_WAR19"
159,29.049186259583,0.182699284651465,NA,NA,NA,NA,"Error","DON_WAR19"
163,50.69185097912,NA,NA,NA,NA,NA,"Total","DON_WAR19"
4,168.869801334358,42.2174503335894,23.3296801648096,48.0612246497,0,0,"Model","HD_WAR20"
159,182.494115347303,1.14776173174404,NA,NA,NA,NA,"Error","HD_WAR20"
163,351.36391668166,NA,NA,NA,NA,NA,"Total","HD_WAR20"
2,77.2829700916802,38.6414850458401,9.44171984721286,23.2891005372661,3.61643048840676e-10,5.38262989735472e-10,"Model","VR_WAR20"
161,254.558828469907,1.58111073583793,NA,NA,NA,NA,"Error","VR_WAR20"
163,331.841798561587,NA,NA,NA,NA,NA,"Total","VR_WAR20"
5,22.6952904567725,4.53905809135449,19.7185427392771,42.5182519752799,0,0,"Model","FDK_WAR20"
158,30.6824694520015,0.194192844632921,NA,NA,NA,NA,"Error","FDK_WAR20"
163,53.377759908774,NA,NA,NA,NA,NA,"Total","FDK_WAR20"
4,16.847942694065,4.21198567351624,19.6932793271115,42.4774597061049,0,0,"Model","DON_WAR20"
159,22.815311207259,0.143492523316094,NA,NA,NA,NA,"Error","DON_WAR20"
163,39.6632539013239,NA,NA,NA,NA,NA,"Total","DON_WAR20"
